id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;job;requests;1597752476.858959;-0.35784077644348145;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
1;job;requests;1597752496.2075987;-0.0487363338470459;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
2;job;requests;1597752499.816288;-0.053231000900268555;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
3;job;requests;1597752511.2951043;-0.05331230163574219;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
4;job;requests;1597752607.9946754;-0.2445688247680664;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
5;job;requests;1597752721.4970694;-0.24273347854614258;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
6;job;requests;1597752954.48483;-0.21579670906066895;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;https://opinionen.ebcomments.dk/embed/stream?asset_id=6619573&asset_url=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573&initialWidth=730&childId=talkStream&parentTitle=Social-demokratiets%20tomme%20l%C3%B8fter%20om%20udl%C3%A6ndinge%20%E2%80%93%20Ekstra%20Bladet&parentUrl=https%3A%2F%2Fekstrabladet.dk%2Fopinionen%2Fpernillevermund%2Fsocial-demokratiets-tomme-loefter-om-udlaendinge%2F6619573;2937;200;True;
