id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
3;urls_get;requests;1598359969.3699453;-0.29068732261657715;https://ekstrabladet.dk/nyheder/politik/graesk-politi-bruger-taaregas-mod-migranter-ved-tyrkisk-graense/8025254;https://ekstrabladet.dk/nyheder/politik/graesk-politi-bruger-taaregas-mod-migranter-ved-tyrkisk-graense/8025254;568972;200;True;
4;urls_get;requests;1598359971.2810102;-0.2541520595550537;https://ekstrabladet.dk/112/erdogan-bekraefter-tyrkiet-har-aabnet-graensen-til-europa/8025272;https://ekstrabladet.dk/112/erdogan-bekraefter-tyrkiet-har-aabnet-graensen-til-europa/8025272;588828;200;True;
5;urls_get;requests;1598359973.8623872;-0.15609502792358398;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/kontroversiel-fck-modstander-saa-faa-fans-har-de/8024810;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/kontroversiel-fck-modstander-saa-faa-fans-har-de/8024810;600035;200;True;
6;urls_get;requests;1598359975.8350022;-0.3198418617248535;https://ekstrabladet.dk/flash/filmogtv/fraek-sexleg-paa-dansk-tv/8025123;https://ekstrabladet.dk/flash/filmogtv/fraek-sexleg-paa-dansk-tv/8025123;588198;200;True;
7;urls_get;requests;1598359978.0050716;-0.3356497287750244;https://ekstrabladet.dk/sport/betting/trav/kongen-skal-koeres-offensivt/8024730;https://ekstrabladet.dk/sport/betting/trav/kongen-skal-koeres-offensivt/8024730;340663;200;True;
8;urls_get;requests;1598359979.8963392;-0.5960371494293213;https://ekstrabladet.dk/sport/cykling/moerkoev-havde-vaeret-ubaerligt/8025255;https://ekstrabladet.dk/sport/cykling/moerkoev-havde-vaeret-ubaerligt/8025255;596493;200;True;
9;urls_get;requests;1598359982.2901173;-0.5084002017974854;https://ekstrabladet.dk/sport/betting/liverpool-paa-rekordjagt/8025245;https://ekstrabladet.dk/sport/betting/liverpool-paa-rekordjagt/8025245;566990;200;True;
10;urls_get;requests;1598359984.363079;-0.37557411193847656;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/spanskfodbold/braithwaite-stjaeler-forsiden-foer-el-clasico-et-es-i-aermet/8025204;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/spanskfodbold/braithwaite-stjaeler-forsiden-foer-el-clasico-et-es-i-aermet/8025204;602780;200;True;
2;urls_get;requests;1598359986.5171854;-0.6065640449523926;https://ekstrabladet.dk/flash/filmogtv/efter-gyser-det-var-naermest-skraemmende/8025079;https://ekstrabladet.dk/flash/filmogtv/efter-gyser-det-var-naermest-skraemmende/8025079;590773;200;True;
3;urls_get;requests;1598359988.8595266;-0.24260830879211426;https://ekstrabladet.dk/sport/cykling/karantaene-ophaevet-moerkoev-koerer-til-vm/8025181;https://ekstrabladet.dk/sport/cykling/karantaene-ophaevet-moerkoev-koerer-til-vm/8025181;566462;200;True;
4;urls_get;requests;1598359990.8019931;-0.3746304512023926;https://ekstrabladet.dk/flash/filmogtv/beskyldt-for-snyd-nu-reagerer-blachman/8025110;https://ekstrabladet.dk/flash/filmogtv/beskyldt-for-snyd-nu-reagerer-blachman/8025110;591229;200;True;
5;urls_get;requests;1598359992.9621015;-0.5596554279327393;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/ryster-paa-hovedet-672-mio-saa-god-er-han-ikke/8020650;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/ryster-paa-hovedet-672-mio-saa-god-er-han-ikke/8020650;600342;200;True;
6;urls_get;requests;1598359995.381651;-0.5320138931274414;https://ekstrabladet.dk/sport/betting/laegger-braithwaite-op-til-messi-igen/8023791;https://ekstrabladet.dk/sport/betting/laegger-braithwaite-op-til-messi-igen/8023791;570390;200;True;
7;urls_get;requests;1598359997.6803753;-1.9836816787719727;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/hoejlydte-solbakken-skraemmer-konen-jeg-proever-at-blive-bedre/8019563;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/hoejlydte-solbakken-skraemmer-konen-jeg-proever-at-blive-bedre/8019563;572334;200;True;
