0,1,2,3
https://ekstrabladet.dk/nyheder/erhvervsnyheder/flere-virksomheder-frygter-at-skulle-fyre-medarbejdere/8118582,107,Flere virksomheder frygter at skulle fyre medarbejdere,12. maj. 2020
https://ekstrabladet.dk/nyheder/politik/er-hans-vicepraesident-i-karantaene/8118613,504,Er hans vicepræsident i karantæne?,12. maj. 2020
