index,true,Preprocces Title
unikttal,True,<class 'list'>
dansk,True,
det,True,
nu,True,
kan,True,
ny,True,
danmark,True,
får,True,
her,True,
jeg,True,
død,True,
million,True,
så,True,
år,True,
stor,True,
vild,True,
nye,True,
nyt,True,
coronavirus,True,
går,True,
helt,True,
igen,True,
trump,True,
efter,True,
kæmpe,True,
corona,True,
kom,True,
vi,True,
sådan,True,
se,True,
dag,True,
klar,True,
unikttalår,True,
bil,True,
gør,True,
fik,True,
kæmp,True,
to,True,
han,True,
giv,True,
afslør,True,
usa,True,
stop,True,
spil,True,
tilbag,True,
hold,True,
før,True,
først,True,
stjern,True,
send,True,
hjem,False,
må,False,
tag,False,
derfor,False,
åbn,False,
ved,False,
kron,False,
vej,False,
gang,False,
vil,False,
luk,False,
verd,False,
bedst,False,
tre,False,
de,False,
eriksen,False,
mette,False,
brøndby,False,
få,False,
chok,False,
test,False,
danske,False,
slår,False,
smit,False,
billed,False,
fck,False,
ras,False,
tid,False,
en,False,
i,False,
far,False,
væk,False,
milliard,False,
tæt,False,
fler,False,
har,False,
ramt,False,
sverige,False,
tal,False,
stort,False,
vind,False,
politi,False,
fyr,False,
fald,False,
ingen,False,
mer,False,
overrask,False,
medie,False,
blev,False,
børn,False,
kvind,False,
skift,False,
land,False,
slut,False,
klub,False,
mor,False,
uden,False,
mand,False,
kun,False,
advar,False,
gik,False,
sam,False,
fund,False,
kamp,False,
kr,False,
rekord,False,
peng,False,
godt,False,
drop,False,
lang,False,
liv,False,
træk,False,
sid,False,
hård,False,
kritik,False,
størst,False,
hjælp,False,
ekstra,False,
red,False,
brug,False,
ikke,False,
vent,False,
spilforslag,False,
kina,False,
drama,False,
historisk,False,
flere,False,
døgn,False,
mest,False,
den,False,
køb,False,
sæt,False,
coronakris,False,
amok,False,
hel,False,
måned,False,
sejr,False,
fejl,False,
job,False,
f,False,
kør,False,
pas,False,
comeback,False,
danmarks,False,
scor,False,
premier,False,
dansker,False,
tog,False,
set,False,
nedtur,False,
rejs,False,
kost,False,
sag,False,
bar,False,
nok,False,
minister,False,
er,False,
plad,False,
league,False,
del,False,
liverpool,False,
lov,False,
fem,False,
aldr,False,
god,False,
kevin,False,
sig,False,
frygt,False,
betal,False,
endnu,False,
træn,False,
barcelona,False,
lig,False,
problem,False,
ekspert,False,
mundbind,False,
meld,False,
tim,False,
københavn,False,
hun,False,
sidst,False,
italien,False,
storklub,False,
skal,False,
sort,False,
registr,False,
bank,False,
konkur,False,
coronadødsfald,False,
fortsæt,False,
vis,False,
svar,False,
led,False,
tidligere,False,
person,False,
dat,False,
officielt,False,
vend,False,
bag,False,
straf,False,
vid,False,
der,False,
står,False,
bekræft,False,
afvis,False,
du,False,
ram,False,
sælg,False,
tab,False,
aflyst,False,
bendtner,False,
rund,False,
hent,False,
svensk,False,
triumf,False,
united,False,
for,False,
truer,False,
ser,False,
gå,False,
lav,False,
frem,False,
vanvit,False,
ståle,False,
forskere,False,
fir,False,
ude,False,
hyld,False,
dyr,False,
ung,False,
skad,False,
fået,False,
voldsom,False,
start,False,
gratis,False,
næst,False,
plan,False,
raser,False,
bilist,False,
